vendor	name	url	enable_proxy	description	more_info	subjects	content_id
Association for Computing Machinery	ACM Digital Library	http://aus.idm.oclc.org/login?url=http://dl.acm.org/browse_dl.cfm?linked=1&part=journal&coll=portal&dl=ACM	1	The ACM Digital Library is a vast collection of citations and full text from the Association for Computing Machinery, including journal and newsletter articles and conference proceedings. Topics include cognitive and computer science, informatics, artificial intelligence and mathematics.		 Computer Science and Computer Engineering	12104684
American Institute of Physics	American Institute of Physics	http://www.aip.org/	0	AIP Publishing provides the global physical science community with a comprehensive collection of highly cited peer reviewed scientific information. Accessed by researchers at nearly 4,000 institutions worldwide, AIP Publishing’s portfolio includes prestigious titles such as Applied Physics Letters, Journal of Applied Physics and The Journal of Chemical Physics, and the AIP Conference Proceedings series. AIP Publishing also publishes on behalf of several of AIP's Member Societies and other publishing partners.		 Sciences	27838474
American Chemical Society	American Chemical Society Journals	http://aus.idm.oclc.org/login?url=https://pubs.acs.org/about.html	1	The American Chemical Society is the leading publisher of peer-reviewed research journals in the chemical and related sciences, serving scientific communities worldwide through an unparalleled commitment to quality, reliability, and innovation.		 Sciences	12104743
American Chemical Society	ACS Symposium Series eBooks - 2017 	http://aus.idm.oclc.org/login?url=http://pubs.acs.org/series/symposium	1	In publication since 1974, the ACS Symposium Series are the high-quality, peer-reviewed eBooks developed from ACS technical divisions’ symposia. Each book chapter is carefully authored by an expert in the field, and the collection of chapters is edited by an internationally recognized leader in the field.			
American Economic Association	American Economic Association	http://aus.idm.oclc.org/login?url=https://www.aeaweb.org/journals/	1	Established in 1885, the AEA is a non-profit, non-partisan, scholarly association dedicated to the discussion and publication of economics research.		 Economics	27838478
American Library Association	American Library Association	http://aus.idm.oclc.org/login?url=http://www.ala.org/	1	AUS membership for American Library Association			
American Mathematical Society	American Mathematical Society	http://aus.idm.oclc.org/login?url=http://www.ams.org/	1	AMS peer-reviewed journals are of the highest quality in mathematical research. Their journals have been published since 1891 and cover a broad range of mathematics. Each journal is managed by editors who are prominent in their fields, and each is unique in its offering of articles, book reviews, and reports.			
American Mathematical Society	American Mathematical Society Journals	http://aus.idm.oclc.org/login?url=http://www.ams.org/	1	AMS peer-reviewed journals are of the highest quality in mathematical research. Their journals have been published since 1891 and cover a broad range of mathematics. Each journal is managed by editors who are prominent in their fields, and each is unique in its offering of articles, book reviews, and reports.		 Mathematics	12104709
The American Physical Society	American Physical Society	http://aus.idm.oclc.org/login?url=http://www.aps.org	1	The American Physical Society strives to be the leading voice for physics and an authoritative source of physics information for the advancement of physics and the benefit of humanity; provide effective programs in support of the physics community and the conduct of physics; collaborate with national scientific societies for the advancement of science, science education and the science community; cooperate with international physics societies to promote physics, to support physicists worldwide and to foster international collaboration; promote an active, engaged and diverse membership, and support the activities of its units and members.		 Sciences	12104710
American Society of Civil Engineers	American Society of Civil Engineers Journals	http://aus.idm.oclc.org/login?url=http://ascelibrary.org/action/showPublications?pubType=journal	1	The ASCE Library provides online access to a high-quality collection of civil engineering content. It contains articles from ASCE journals, papers from conference proceedings, and e-books and standards.		 Engineering	27838482
Silverchair Information Systems	American Society of Mechanical Engineers (ASME)	http://aus.idm.oclc.org/login?url=http://asmedigitalcollection.asme.org/journals.aspx	1	ASME is a not-for-profit membership organization that enables collaboration, knowledge sharing, career enrichment, and skills development across all engineering disciplines, toward a goal of helping the global engineering community develop solutions to benefit lives and livelihoods.		 Engineering	12104686
